algorithm name,total files,true files,accuracy
direct-gemini-1.5-flash,105,60,0.5714285714285714
direct-gemini-1.5-pro,105,67,0.638095238095238
direct-gpt-3.5-turbo,105,46,0.4380952380952381
direct-gpt-4o,105,73,0.6952380952380952
direct-llama3-70b-instruct,105,43,0.4095238095238095
flow-gemini-1.5-flash,105,60,0.5714285714285714
flow-gemini-1.5-pro,104,60,0.5769230769230769
flow-gpt-3.5-turbo,105,41,0.3904761904761905
flow-gpt-4o,103,76,0.7378640776699029
flow-llama3-70b-instruct,105,46,0.4380952380952381
